"","Af1","Af2","Am1","Am2","Am3","As1","As2","As3","As4","As5","Au","De","Eu1","Eu2","Eu3","Eu4","Eu5","Eu6","Eu7","Hi","It","Ja","Ko","Ru"
"X1.22.2020",0,0,1,0,0,0,0,0,549,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0
"X1.23.2020",0,0,1,0,0,0,0,0,644,6,0,0,0,0,0,0,0,0,0,0,0,2,1,0
"X1.24.2020",0,0,2,0,0,0,0,0,923,10,0,0,0,2,0,0,0,0,0,0,0,2,2,0
"X1.25.2020",0,0,2,0,0,0,0,1,1409,15,0,0,0,3,0,0,0,0,0,0,0,2,2,0
"X1.26.2020",0,0,6,0,0,0,0,1,2079,18,4,0,0,3,0,0,0,0,0,0,0,4,3,0
"X1.27.2020",0,0,6,0,0,0,0,2,2882,20,5,1,0,3,0,0,0,0,0,0,0,4,4,0
"X1.28.2020",0,0,7,0,0,0,0,2,5517,28,5,4,0,4,0,0,0,0,0,0,0,7,4,0
"X1.29.2020",0,0,7,0,0,4,0,2,6095,31,6,4,0,5,0,1,0,0,0,0,0,7,4,0
"X1.30.2020",0,0,7,0,0,4,0,2,8150,36,9,4,0,5,0,1,0,0,0,1,0,11,4,0
"X1.31.2020",0,0,11,0,0,4,0,2,9812,44,9,5,0,5,2,2,0,0,0,1,2,15,11,2
"X2.1.2020",0,0,12,0,0,4,0,2,11901,51,12,8,1,6,2,2,0,0,0,1,2,20,12,2
"X2.2.2020",0,0,12,0,0,5,0,2,16640,54,12,10,1,6,2,2,0,0,0,2,2,20,15,2
"X2.3.2020",0,0,15,0,0,5,0,2,19726,56,12,12,1,6,2,2,0,0,0,3,2,20,15,2
"X2.4.2020",0,0,15,0,0,5,0,2,23718,70,13,12,1,7,2,2,0,0,0,3,2,22,16,2
"X2.5.2020",0,0,16,0,0,5,0,2,27451,76,13,12,1,7,2,2,0,0,0,3,2,22,19,2
"X2.6.2020",0,0,16,0,0,5,0,2,30603,78,14,12,1,7,2,2,0,0,0,3,2,22,23,2
"X2.7.2020",0,61,18,0,0,5,0,2,34126,81,15,13,1,7,3,2,0,0,0,3,3,25,24,2
"X2.8.2020",0,61,18,0,0,7,0,2,36831,98,15,13,1,12,3,2,0,0,0,3,3,25,24,2
"X2.9.2020",0,64,18,0,0,7,0,2,39847,105,15,14,2,12,3,2,0,0,0,3,3,26,25,2
"X2.10.2020",0,135,18,0,0,8,0,2,42372,113,15,14,2,12,8,2,0,0,0,3,3,26,27,2
"X2.11.2020",0,135,19,0,0,8,0,2,44404,117,15,16,2,12,8,2,0,0,0,3,3,26,28,2
"X2.12.2020",0,175,19,0,0,8,0,2,44777,120,15,16,2,12,9,2,0,0,0,3,3,28,28,2
"X2.13.2020",0,175,20,0,0,8,0,2,59913,130,15,16,2,12,9,2,0,0,0,3,3,28,28,2
"X2.14.2020",1,218,20,0,0,8,0,2,66376,139,15,16,2,12,9,2,0,0,0,3,3,29,28,2
"X2.15.2020",1,285,20,0,0,8,0,2,68431,147,15,16,2,13,9,2,0,0,0,3,3,43,28,2
"X2.16.2020",1,355,20,0,0,9,0,2,70533,151,15,16,2,13,9,2,0,0,0,3,3,59,29,2
"X2.17.2020",1,454,21,0,0,9,0,2,72456,154,15,16,2,13,9,2,0,0,0,3,3,66,30,2
"X2.18.2020",1,542,21,0,0,9,0,2,74233,158,15,16,2,13,9,2,0,0,0,3,3,74,31,2
"X2.19.2020",1,621,21,0,0,11,0,2,74642,161,15,16,2,13,9,2,0,0,0,3,3,84,31,2
"X2.20.2020",1,634,21,0,0,14,0,2,75101,161,15,16,2,13,9,2,0,0,0,3,3,94,104,2
"X2.21.2020",1,634,24,0,0,29,0,2,75576,162,15,16,2,13,9,2,0,0,0,3,20,105,204,2
"X2.22.2020",1,634,24,0,0,43,0,2,77027,162,15,16,2,13,9,2,0,0,0,3,62,122,433,2
"X2.23.2020",1,691,24,0,0,58,0,2,77050,166,15,16,2,13,9,2,0,0,0,3,155,147,602,2
"X2.24.2020",1,691,61,0,0,82,0,2,77271,166,15,16,2,13,13,2,0,0,0,3,229,159,833,2
"X2.25.2020",2,691,62,0,0,148,0,2,77785,170,15,20,6,15,13,2,0,1,0,3,322,170,977,2
"X2.26.2020",2,705,68,0,1,226,0,4,78198,175,15,30,13,19,13,5,0,6,0,3,453,189,1261,2
"X2.27.2020",2,705,71,0,1,352,0,4,78632,176,15,57,15,40,15,11,0,8,1,3,656,214,1766,2
"X2.28.2020",2,706,75,0,1,507,0,4,78962,177,16,59,32,59,20,17,0,13,3,3,889,228,2337,2
