"","confirm","recover","death","confirm_daily","recover_daily","death_daily","confirm_RP","recover_RP","death_RP","Exists","ReDR","DeathR","HealR","RiskD","RiskT"
"X1.22.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X1.23.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X1.24.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X1.25.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X1.26.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X1.27.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X1.28.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X1.29.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X1.30.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X1.31.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X2.1.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X2.2.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X2.3.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X2.4.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X2.5.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X2.6.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X2.7.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X2.8.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X2.9.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X2.10.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X2.11.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X2.12.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X2.13.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X2.14.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X2.15.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X2.16.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X2.17.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X2.18.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
