"","confirm","recover","death","confirm_daily","recover_daily","death_daily","confirm_RP","recover_RP","death_RP","Exists","ReDR","DeathR","HealR","RiskD","RiskT"
"X1.22.20",2,0,0,0,0,0,3.36636228467737e-05,0,0,2,0,0,0,0,0
"X1.23.20",6,0,0,4,0,0,0.000100990868540321,0,0,6,0,0,0,0,0
"X1.24.20",10,0,0,4,0,0,0.000168318114233868,0,0,10,0,0,0,0,0
"X1.25.20",15,0,0,5,0,0,0.000252477171350803,0,0,15,0,0,0,0,0
"X1.26.20",18,2,0,3,2,0,0.000302972605620963,3.36636228467737e-05,0,16,1,0,0.111111111111111,2,2
"X1.27.20",20,2,0,2,0,0,0.000336636228467737,3.36636228467737e-05,0,18,0,0,0.1,0,2
"X1.28.20",28,5,0,8,3,0,0.000471290719854832,8.41590571169342e-05,0,23,1,0,0.178571428571429,3,5
"X1.29.20",31,5,0,3,0,0,0.000521786154124992,8.41590571169342e-05,0,26,0,0,0.161290322580645,0,5
"X1.30.20",36,5,0,5,0,0,0.000605945211241926,8.41590571169342e-05,0,31,0,0,0.138888888888889,0,5
"X1.31.20",44,5,0,8,0,0,0.000740599702629021,8.41590571169342e-05,0,39,0,0,0.113636363636364,0,5
"X2.1.20",51,6,0,7,1,0,0.000858422382592729,0.000100990868540321,0,45,1,0,0.117647058823529,1,6
"X2.2.20",54,6,1,3,0,1,0.00090891781686289,0.000100990868540321,1.68318114233868e-05,47,0,0.0185185185185185,0.111111111111111,0,6
"X2.3.20",56,6,1,2,0,0,0.000942581439709663,0.000100990868540321,1.68318114233868e-05,49,0,0.0178571428571429,0.107142857142857,0,6
"X2.4.20",70,6,1,14,0,0,0.00117822679963708,0.000100990868540321,1.68318114233868e-05,63,0,0.0142857142857143,0.0857142857142857,0,6
"X2.5.20",76,6,1,6,0,0,0.0012792176681774,0.000100990868540321,1.68318114233868e-05,69,0,0.0131578947368421,0.0789473684210526,0,6
"X2.6.20",78,6,1,2,0,0,0.00131288129102417,0.000100990868540321,1.68318114233868e-05,71,0,0.0128205128205128,0.0769230769230769,0,6
"X2.7.20",81,7,1,3,1,0,0.00136337672529433,0.000117822679963708,1.68318114233868e-05,73,1,0.0123456790123457,0.0864197530864197,1,7
"X2.8.20",98,14,1,17,7,0,0.00164951751949191,0.000235645359927416,1.68318114233868e-05,83,1,0.0102040816326531,0.142857142857143,7,14
"X2.9.20",105,14,1,7,0,0,0.00176734019945562,0.000235645359927416,1.68318114233868e-05,90,0,0.00952380952380952,0.133333333333333,0,14
"X2.10.20",113,14,1,8,0,0,0.00190199469084271,0.000235645359927416,1.68318114233868e-05,98,0,0.00884955752212389,0.123893805309735,0,14
"X2.11.20",117,28,1,4,14,0,0.00196932193653626,0.000471290719854832,1.68318114233868e-05,88,1,0.00854700854700855,0.239316239316239,14,28
"X2.12.20",120,36,1,3,8,0,0.00201981737080642,0.000605945211241926,1.68318114233868e-05,83,1,0.00833333333333333,0.3,8,36
"X2.13.20",130,39,1,10,3,0,0.00218813548504029,0.000656440645512087,1.68318114233868e-05,90,1,0.00769230769230769,0.3,3,39
"X2.14.20",139,41,1,9,2,0,0.00233962178785077,0.000690104268358861,1.68318114233868e-05,97,1,0.00719424460431655,0.294964028776978,2,41
"X2.15.20",147,46,1,8,5,0,0.00247427627923787,0.000774263325475795,1.68318114233868e-05,100,1,0.00680272108843537,0.312925170068027,5,46
"X2.16.20",151,48,1,4,2,0,0.00254160352493141,0.000807926948322569,1.68318114233868e-05,102,1,0.00662251655629139,0.317880794701987,2,48
"X2.17.20",154,55,1,3,7,0,0.00259209895920157,0.000925749628286277,1.68318114233868e-05,98,1,0.00649350649350649,0.357142857142857,7,55
"X2.18.20",158,66,1,4,11,0,0.00265942620489512,0.00111089955394353,1.68318114233868e-05,91,1,0.00632911392405063,0.417721518987342,11,66
"X2.19.20",161,73,1,3,7,0,0.00270992163916528,0.00122872223390724,1.68318114233868e-05,87,1,0.0062111801242236,0.453416149068323,7,73
"X2.20.20",161,73,1,0,0,0,0.00270992163916528,0.00122872223390724,1.68318114233868e-05,87,0,0.0062111801242236,0.453416149068323,0,73
"X2.21.20",162,85,1,1,12,0,0.00272675345058867,0.00143070397098788,1.68318114233868e-05,76,1,0.00617283950617284,0.524691358024691,12,85
"X2.22.20",162,85,1,0,0,0,0.00272675345058867,0.00143070397098788,1.68318114233868e-05,76,0,0.00617283950617284,0.524691358024691,0,85
"X2.23.20",166,103,1,4,18,0,0.00279408069628222,0.00173367657660885,1.68318114233868e-05,62,1,0.00602409638554217,0.620481927710843,18,103
"X2.24.20",166,106,1,0,3,0,0.00279408069628222,0.00178417201087901,1.68318114233868e-05,59,1,0.00602409638554217,0.63855421686747,3,106
"X2.25.20",170,111,1,4,5,0,0.00286140794197576,0.00186833106799594,1.68318114233868e-05,58,1,0.00588235294117647,0.652941176470588,5,111
"X2.26.20",175,120,1,5,9,0,0.0029455669990927,0.00201981737080642,1.68318114233868e-05,54,1,0.00571428571428571,0.685714285714286,9,120
"X2.27.20",176,120,1,1,0,0,0.00296239881051609,0.00201981737080642,1.68318114233868e-05,55,0,0.00568181818181818,0.681818181818182,0,120
"X2.28.20",177,126,1,1,6,0,0.00297923062193947,0.00212080823934674,1.68318114233868e-05,50,1,0.00564971751412429,0.711864406779661,6,126
"X2.29.20",189,136,1,12,10,0,0.00318121235902011,0.00228912635358061,1.68318114233868e-05,52,1,0.00529100529100529,0.71957671957672,10,136
"X3.1.20",197,136,2,8,0,1,0.00331586685040721,0.00228912635358061,3.36636228467737e-05,59,0,0.0101522842639594,0.690355329949239,0,68
"X3.2.20",202,145,2,5,9,0,0.00340002590752414,0.00244061265639109,3.36636228467737e-05,55,1,0.0099009900990099,0.717821782178218,9,72.5
"X3.3.20",211,149,2,9,4,0,0.00355151221033462,0.00250793990208464,3.36636228467737e-05,60,1,0.00947867298578199,0.706161137440758,4,74.5
"X3.4.20",225,149,2,14,0,0,0.00378715757026204,0.00250793990208464,3.36636228467737e-05,74,0,0.00888888888888889,0.662222222222222,0,74.5
"X3.5.20",236,149,2,11,0,0,0.0039723074959193,0.00250793990208464,3.36636228467737e-05,85,0,0.00847457627118644,0.63135593220339,0,74.5
"X3.6.20",287,149,2,51,0,0,0.00483072987851203,0.00250793990208464,3.36636228467737e-05,136,0,0.00696864111498258,0.519163763066202,0,74.5
"X3.7.20",310,150,2,23,1,0,0.00521786154124992,0.00252477171350803,3.36636228467737e-05,158,1,0.00645161290322581,0.483870967741935,1,75
"X3.8.20",347,151,2,37,1,0,0.00584063856391524,0.00254160352493141,3.36636228467737e-05,194,1,0.00576368876080692,0.435158501440922,1,75.5
"X3.9.20",389,151,2,42,0,0,0.00654757464369748,0.00254160352493141,3.36636228467737e-05,236,0,0.0051413881748072,0.388174807197943,0,75.5
"X3.10.20",436,156,2,47,5,0,0.00733866978059667,0.00262576258204835,3.36636228467737e-05,278,1,0.00458715596330275,0.357798165137615,5,78
"X3.11.20",521,177,3,85,21,1,0.00876937375158455,0.00297923062193947,5.04954342701605e-05,341,1,0.00575815738963532,0.339731285988484,21,59
"X3.12.20",536,177,4,15,0,1,0.00902185092293535,0.00297923062193947,6.73272456935474e-05,355,0,0.00746268656716418,0.330223880597015,0,44.25
"X3.13.20",694,179,10,158,2,6,0.0116812771278305,0.00301289424478625,0.000168318114233868,505,1,0.0144092219020173,0.257925072046109,0.333333333333333,17.9
"X3.14.20",839,202,14,145,23,4,0.0141218897842216,0.00340002590752414,0.000235645359927416,623,1,0.0166865315852205,0.240762812872467,5.75,14.4285714285714
"X3.15.20",1138,209,17,299,7,3,0.0191546013998142,0.00351784858748785,0.000286140794197576,912,1,0.0149384885764499,0.18365553602812,2.33333333333333,12.2941176470588
"X3.16.20",1354,213,18,216,4,1,0.0227902726672658,0.0035851758331814,0.000302972605620963,1123,1,0.0132939438700148,0.157311669128508,4,11.8333333333333
"X3.17.20",1630,234,20,276,21,2,0.0274358526201206,0.00393864387307252,0.000336636228467737,1376,1,0.0122699386503067,0.143558282208589,10.5,11.7
"X3.18.20",1922,249,41,292,15,21,0.0323507415557495,0.00419112104442332,0.000690104268358861,1632,1,0.0213319458896982,0.129552549427679,0.714285714285714,6.07317073170732
"X3.19.20",2242,267,45,320,18,4,0.0377369212112333,0.00449409365004429,0.000757431514052408,1930,1,0.02007136485281,0.119090098126673,4.5,5.93333333333333
"X3.20.20",2556,294,54,314,27,9,0.0430221099981768,0.00494855255847573,0.00090891781686289,2208,1,0.0211267605633803,0.115023474178404,3,5.44444444444444
"X3.21.20",3013,344,64,457,50,10,0.0507142478186646,0.00579014312964508,0.00107723593109676,2605,1,0.02124128775307,0.114171921672751,5,5.375
"X3.22.20",3540,393,86,527,49,22,0.0595846124387894,0.00661490188939103,0.00144753578241127,3061,1,0.0242937853107345,0.111016949152542,2.22727272727273,4.56976744186047
"X3.23.20",4091,393,99,551,0,13,0.0688589405330756,0.00661490188939103,0.0016663493309153,3599,0,0.0241994622341726,0.0960645318992911,0,3.96969696969697
"X3.24.20",4579,464,112,488,71,13,0.0770728645076884,0.0078099605004515,0.00188516287941933,4003,1,0.0244594889713911,0.101332168595763,5.46153846153846,4.14285714285714
"X3.25.20",5137,515,122,558,51,10,0.0864650152819382,0.00866838288304423,0.0020534809936532,4500,1,0.0237492700019467,0.100253065991824,5.1,4.22131147540984
"X3.26.20",5729,573,152,592,58,30,0.0964294476445832,0.00964462794560066,0.0025584353363548,5004,1,0.0265316809216268,0.100017455053238,1.93333333333333,3.76973684210526
"X3.27.20",6270,658,174,541,85,22,0.105535457624636,0.0110753319165885,0.00292873518766931,5438,1,0.0277511961722488,0.104944178628389,3.86363636363636,3.7816091954023
"X3.28.20",7007,768,206,737,110,32,0.117940502643672,0.0129268311731611,0.00346735315321769,6033,1,0.0293991722563151,0.109604681033252,3.4375,3.72815533980583
"X3.29.20",7841,883,231,834,115,25,0.131978233370776,0.0148624894868506,0.00388814843880236,6727,1,0.0294605279938783,0.112613187093483,4.6,3.82251082251082
"X3.30.20",8449,1167,250,608,284,19,0.142211974716195,0.0196427239310925,0.00420795285584671,7032,1,0.029589300508936,0.138122854775713,14.9473684210526,4.668
"X3.31.20",9430,1375,282,981,208,32,0.158723981722538,0.0231437407071569,0.00474657082139509,7773,1,0.0299045599151644,0.145811240721103,6.5,4.8758865248227
"X4.1.20",10151,1688,315,721,313,33,0.1708597177588,0.028412097682677,0.00530202059836686,8148,1,0.0310314254753226,0.166289035562999,9.48484848484848,5.35873015873016
"X4.2.20",10970,1866,348,819,178,33,0.184644971314554,0.0314081601160399,0.00585747037533862,8756,1,0.0317228805834093,0.170100273473108,5.39393939393939,5.36206896551724
"X4.3.20",11945,2092,396,975,226,48,0.201055987452356,0.0352121494977253,0.00666539732366119,9457,1,0.0331519464210967,0.175136040184177,4.70833333333333,5.28282828282828
"X4.4.20",12446,2299,420,501,207,24,0.209488724975473,0.0386963344623664,0.00706936079782247,9727,1,0.0337457817772778,0.184717981680861,8.625,5.47380952380952
